game,turn,on_turn_player,nested_pick_orig,flat_pick,nested_top_pick,nested_top_wpct,nested_wpct_for_flat_pick,cgp
0,0,0,8C TERRETS,8D TERRETS,8D TERRETS,0.738055,0.738055,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 EERRSTT/EEGOSVX 0/0 0
0,1,1,9F EXO,F7 G(R)EX,E4 VEXE(R),0.334316,0.335287,15/15/15/15/15/15/15/2TERRETS6/15/15/15/15/15/15/15 EEGOSVX/ADMNOTU 0/66 0
0,2,0,D2 OUTNAM(E)D,D2 AMOUNT(E)D,D2 OUTNAM(E)D,0.838012,0.763988,15/15/15/15/15/15/15/2TERRETS6/5EXO7/15/15/15/15/15/15 ADMNOTU/ACEGLSV 66/39 0
0,3,1,10H GAVEL,F6 VA(RE)C,F6 VA(RE)C,0.194459,0.194459,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS6/3D1EXO7/15/15/15/15/15/15 ACEGLSV/EIJLNTZ 39/138 0
0,7,1,13I SPE(T)CH,(exch PQ),K9 L(E)EP,0.038832,0.046042,15/1TROOZ9/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 CEHLPQS/AGINNOY 99/248 0
0,8,0,5C A(N)NOYING,5B AN(N)OYING,5C A(N)NOYING,0.995339,0.994167,15/1TROOZ9/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/8SPETCH1/15/15 AGINNOY/CEILQSU 248/127 0
1,0,0,8E FIQH,8G FIQH,8E FIQH,0.647837,0.617183,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 DEFHINQ/CEIIIVW 0/0 0
1,4,0,K3 EIDE,12I I(D)EATE,K3 EIDE,0.854142,0.829234,15/15/15/15/9I5/9R5/9O5/4FIQH1N5/7IWI5/7CEZVE3/9E5/9D5/15/15/15 ADEEEIT/ACEIJPY 128/47 0
1,7,1,4I IS(IT),M7 PICS,M7 PICS,0.172063,0.172063,11V3/11A3/10EW3/10IT3/9IDE3/9RE4/9O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 CEIIPSS/ABENNTT 76/189 0
1,8,0,E4 TABE(FY),I1 TAB(I)NET,E4 TABE(FY),0.897659,0.893198,11V3/11A3/10EW3/8ISIT3/9IDE3/9RE4/9O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 ABENNTT/BCEIPRS 189/99 0
1,9,1,M6 CREPS,11I B(E),I3 B(I)CEP,0.143992,0.099300,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE4/4E4O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 BCEIPRS/EFNNOST 99/217 0
1,11,1,12H TI(D)BIT,D1 TIMID,12H TI(D)BIT,0.077837,0.078105,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE1C2/4E4O2R2/4FIQH1N1FENT/2JAY2IWI2P2/7CEZVES2/9E5/9D5/15/15/15 BDIIMTT/DEGNNOS 132/250 0
1,12,0,F3 NOG,10B NOG,F5 NON(I)S,0.966330,0.959787,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE1C2/4E4O2R2/4FIQH1N1FENT/2JAY2IWI2P2/7CEZVES2/9E5/7TIDBIT2/15/15/15 DEGNNOS/ADELLMO 250/152 0
2,0,0,8H UVAE,8F UVAE,8H UVAE,0.515792,0.507499,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 AEEIOUV/ADEFOU? 0/0 0
2,9,1,D2 TAXA,D2 TAX,D2 TAX,0.789435,0.789435,15/15/4R6G3/4U4KHI3/4R4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 AABCNTX/EHPRSTT 152/128 0
2,12,0,15E TRA(I)PSED,C5 PETARDS,15E TRA(I)PSED,0.435872,0.405975,1T13/1I1T11/1CHART5G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 ADEPRST/BEILNTY 142/216 0
3,0,0,8H EVICT,8D CIVET,8E CIVE,0.584308,0.569988,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 CEEILTV/ABEGLLN 0/0 0
3,2,0,K3 OLE,K8 (C)OOP,K2 POTE,0.350975,0.348320,15/15/9L5/9A5/9B5/9E5/9L5/7EVICT3/9N5/9G5/15/15/15/15/15 EELOOPT/EHIKMOT 22/67 0
