game,turn,on_turn_player,inner_calls,inner_rollouts,inner_agree_count,inner_agree_rate,inner_loss_mean,inner_loss_stddev,inner_loss_max,inner_early_stops,inner_early_stop_rate,nested_pick,rack,cgp
0,0,0,14212,3119661,2889,0.203279,0.057675,0.061055,0.578690,4889,0.344005,8C TERRETS,EERRSTT,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 EERRSTT/EEGOSVX 0/0 0
0,1,1,13236,2869362,2724,0.205802,0.054348,0.059280,0.708645,4863,0.367407,9F EXO,EEGOSVX,15/15/15/15/15/15/15/2TERRETS6/15/15/15/15/15/15/15 EEGOSVX/ADMNOTU 0/66 0
0,2,0,13432,2947641,2945,0.219253,0.057343,0.064937,0.612410,4668,0.347528,D2 OUTNAM(E)D,ADMNOTU,15/15/15/15/15/15/15/2TERRETS6/5EXO7/15/15/15/15/15/15 ADMNOTU/ACEGLSV 66/39 0
0,3,1,11612,2527616,2786,0.239924,0.037868,0.046915,0.665376,4211,0.362642,10H GAVEL,ACEGLSV,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS6/3D1EXO7/15/15/15/15/15/15 ACEGLSV/EIJLNTZ 39/138 0
0,4,0,10672,2309851,2744,0.257121,0.042594,0.053400,0.620918,4001,0.374906,L8 JI(L)LET,EIJLNTZ,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS6/3D1EXO7/7GAVEL3/15/15/15/15/15 EIJLNTZ/AACEPPS 138/60 0
0,5,1,10232,2241848,2986,0.291830,0.029668,0.045675,0.587298,3581,0.349980,8L (J)AAP,AACEPPS,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS2J3/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 AACEPPS/GNORTYZ 60/180 0
0,6,0,9792,2108879,2831,0.289114,0.034534,0.046876,0.549997,3722,0.380106,2B TR(O)OZ,GNORTYZ,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 GNORTYZ/CEHLPQS 180/99 0
0,7,1,9244,1985145,2470,0.267200,0.014272,0.021217,0.364785,3589,0.388252,13I SPE(T)CH,CEHLPQS,15/1TROOZ9/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 CEHLPQS/AGINNOY 99/248 0
0,8,0,7232,1569113,1630,0.225387,0.021411,0.034938,0.578970,2602,0.359790,5C A(N)NOYING,AGINNOY,15/1TROOZ9/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/8SPETCH1/15/15 AGINNOY/CEILQSU 248/127 0
0,9,1,8816,1872685,1936,0.219601,0.018844,0.035025,0.626973,3585,0.406647,11C CLIQUES,CEILQSU,15/1TROOZ9/3U11/3T11/2ANNOYING5/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/8SPETCH1/15/15 CEILQSU/EEHINRY 127/322 0
0,10,0,9320,1975296,1908,0.204721,0.041498,0.064289,0.759302,3856,0.413734,6F YEN,EEHINRY,15/1TROOZ9/3U11/3T11/2ANNOYING5/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/2CLIQUES2L3/11E3/8SPETCH1/15/15 EEHINRY/AAAEIOR 322/220 0
0,11,1,9708,2086008,1841,0.189637,0.019690,0.034418,0.656754,3731,0.384322,3C E(U)RO,AAAEIOR,15/1TROOZ9/3U11/3T11/2ANNOYING5/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/2CLIQUES2L3/11E3/8SPETCH1/15/15 AAAEIOR/DDEHIRU 220/356 0
0,12,0,10076,2104963,1978,0.196308,0.036199,0.063047,0.784944,4360,0.432711,1F DRUID,DDEHIRU,15/1TROOZ9/2EURO9/3T11/2ANNOYING5/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/2CLIQUES2L3/11E3/8SPETCH1/15/15 DDEHIRU/AAABIMN 356/245 0
0,13,1,9046,1860176,1700,0.187928,0.020670,0.046149,0.818715,4206,0.464957,4G ABA,AAABIMN,5DRUID5/1TROOZ9/2EURO9/3T11/2ANNOYING5/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/2CLIQUES2L3/11E3/8SPETCH1/15/15 AAABIMN/EFHILW? 245/390 0
0,14,0,8583,1730254,1440,0.167774,0.025828,0.060667,0.835300,4135,0.481766,3I WHIfFLE,EFHILW?,5DRUID5/1TROOZ9/2EURO9/3T2ABA6/2ANNOYING5/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/2CLIQUES2L3/11E3/8SPETCH1/15/15 EFHILW?/AIIMNSV 390/269 0
