game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
0,0,0,8C TERRETS,8D TERRETS,0.688108,0.683039,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 EERRSTT/EEGOSVX 0/0 0
0,1,1,9F EXO,F7 G(R)EX,0.295532,0.287493,15/15/15/15/15/15/15/2TERRETS6/15/15/15/15/15/15/15 EEGOSVX/ADMNOTU 0/66 0
0,2,0,D2 OUTNAM(E)D,D2 AMOUNT(E)D,0.794890,0.764255,15/15/15/15/15/15/15/2TERRETS6/5EXO7/15/15/15/15/15/15 ADMNOTU/ACEGLSV 66/39 0
0,3,1,10H GAVEL,F6 VA(RE)C,0.172831,0.156136,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS6/3D1EXO7/15/15/15/15/15/15 ACEGLSV/EIJLNTZ 39/138 0
0,4,0,L8 JI(L)LET,L8 JI(L)LET,0.885807,0.885807,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS6/3D1EXO7/7GAVEL3/15/15/15/15/15 EIJLNTZ/AACEPPS 138/60 0
0,5,1,8L (J)AAP,8L (J)AAP,0.150478,0.150478,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS2J3/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 AACEPPS/GNORTYZ 60/180 0
0,6,0,2B TR(O)OZ,2B TR(O)OZ,0.934031,0.934031,15/3O11/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 GNORTYZ/CEHLPQS 180/99 0
0,7,1,13I SPE(T)CH,(exch PQ),0.041170,0.027366,15/1TROOZ9/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/11T3/15/15 CEHLPQS/AGINNOY 99/248 0
0,8,0,5C A(N)NOYING,5B AN(N)OYING,0.989815,0.989725,15/1TROOZ9/3U11/3T11/3N11/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/8SPETCH1/15/15 AGINNOY/CEILQSU 248/127 0
0,9,1,11C CLIQUES,11C CLIQUES,0.037070,0.037070,15/1TROOZ9/3U11/3T11/2ANNOYING5/3A11/3M11/2TERRETS2JAAP/3D1EXO3I3/7GAVEL3/11L3/11E3/8SPETCH1/15/15 CEILQSU/EEHINRY 127/322 0
1,0,0,8E FIQH,8G FIQH,0.609898,0.607361,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 DEFHINQ/CEIIIVW 0/0 0
