pos	run	win	spread	play
1	1	1.0000	+29.639	9J H(A) 5
1	2	1.0000	+29.639	9J H(A) 5
1	3	1.0000	+29.639	9J H(A) 5
2	1	1.0000	+61.278	N8 cICUTI(N)E 65
2	2	1.0000	+61.278	N8 cICUTI(N)E 65
2	3	1.0000	+61.278	N8 cICUTI(N)E 65
3	1	1.0000	+50.889	A5 HONK 38
3	2	1.0000	+50.889	A5 HONK 38
3	3	1.0000	+50.889	A5 HONK 38
4	1	0.7778	+22.667	O8 TAENIOI(D) 80
4	2	0.7778	+22.667	O8 TAENIOI(D) 80
4	3	0.7778	+22.667	O8 TAENIOI(D) 80
5	1	0.9444	+18.083	7I R(E)W 28
5	2	0.9444	+18.083	7I R(E)W 28
5	3	0.9444	+18.083	7I R(E)W 28
6	1	0.7500	+28.778	2B VA(E) 14
6	2	0.7500	+28.778	2B VA(E) 14
6	3	0.7500	+28.778	2B VA(E) 14
7	1	0.1944	-8.139	M1 LUTED 30
7	2	0.1944	-8.139	M1 LUTED 30
7	3	0.1944	-8.139	M1 LUTED 30
8	1	1.0000	+27.222	2G TOCK(E)D 23
8	2	1.0000	+27.720	C1 (T)OD 18
8	3	1.0000	+27.222	2G TOCK(E)D 23
9	1	0.9236	+12.333	H14 (O)F 15
9	2	0.9236	+12.333	H14 (O)F 15
9	3	0.9236	+12.333	H14 (O)F 15
10	1	0.9444	+18.222	6B QI 35
10	2	0.9444	+18.222	6B QI 35
10	3	0.9444	+18.222	6B QI 35
11	1	0.8333	+12.750	J10 B(I)NGY 25
11	2	0.8333	+12.750	J10 B(I)NGY 25
11	3	0.8333	+13.667	J10 B(I)NGY 25
12	1	0.7500	+0.028	J13 IW(I) 30
12	2	0.7500	+0.028	J13 IW(I) 30
12	3	0.7500	+0.028	J13 IW(I) 30
13	1	0.9167	+53.833	M1 BRO(A)DAX 50
13	2	0.9167	+52.528	M1 BRO(A)DAX 50
13	3	0.9167	+52.528	M1 BRO(A)DAX 50
14	1	0.1111	-56.222	3G V(O)M 15
14	2	0.1111	-56.222	3G V(O)M 15
14	3	0.1111	-56.222	3G V(O)M 15
15	1	1.0000	+77.472	1F HAVARTI 97
15	2	1.0000	+77.472	1F HAVARTI 97
15	3	1.0000	+77.472	1F HAVARTI 97
16	1	1.0000	+42.194	14F MANN(IT)IC 32
16	2	1.0000	+42.194	14F MANN(IT)IC 32
16	3	1.0000	+42.194	14F MANN(IT)IC 32
17	1	0.3056	-7.694	E8 (TE)G 4
17	2	0.3056	-7.694	E8 (TE)G 4
17	3	0.3056	-7.694	E8 (TE)G 4
18	1	0.1667	-31.667	O1 MIR(Y) 27
18	2	0.1667	-31.667	O1 MIR(Y) 27
18	3	0.1944	-31.333	O1 MIR(Y) 27
19	1	1.0000	+41.194	B3 (E)EEW 35
19	2	1.0000	+41.194	B3 (E)EEW 35
19	3	1.0000	+41.194	B3 (E)EEW 35
20	1	0.0000	-47.222	G7 (YU)CK 26
20	2	0.0000	-47.222	G7 (YU)CK 26
20	3	0.0000	-47.222	G7 (YU)CK 26
21	1	0.9444	+4.250	N1 LINS 19
21	2	0.9444	+4.250	N1 LINS 19
