seed,game_pair,p0_type,p1_type,p0_score,p1_score,turns,elapsed_s,winner
1,0,SIM4,SIMINF4,406,519,24,81.60,SIMINF4
1,1,SIMINF4,SIM4,411,545,26,77.41,SIM4
2,0,SIM4,SIMINF4,435,470,26,109.68,SIMINF4
2,1,SIMINF4,SIM4,440,486,32,90.01,SIM4
3,0,SIM4,SIMINF4,472,446,27,90.08,SIM4
3,1,SIMINF4,SIM4,592,421,26,85.26,SIMINF4
4,0,SIM4,SIMINF4,487,370,26,93.60,SIM4
4,1,SIMINF4,SIM4,449,394,31,81.18,SIMINF4
5,0,SIM4,SIMINF4,527,507,23,80.86,SIM4
5,1,SIMINF4,SIM4,314,539,24,81.85,SIM4
6,0,SIM4,SIMINF4,516,316,29,86.30,SIM4
6,1,SIMINF4,SIM4,492,365,23,85.40,SIMINF4
7,0,SIM4,SIMINF4,458,458,25,89.42,tie
7,1,SIMINF4,SIM4,433,528,31,85.82,SIM4
8,0,SIM4,SIMINF4,269,502,35,106.53,SIMINF4
8,1,SIMINF4,SIM4,327,493,27,102.08,SIM4
9,0,SIM4,SIMINF4,467,414,21,80.90,SIM4
9,1,SIMINF4,SIM4,465,333,21,85.41,SIMINF4
10,0,SIM4,SIMINF4,453,445,27,94.33,SIM4
10,1,SIMINF4,SIM4,421,451,22,85.16,SIM4
11,0,SIM4,SIMINF4,406,507,23,73.08,SIMINF4
11,1,SIMINF4,SIM4,382,535,24,77.14,SIM4
12,0,SIM4,SIMINF4,384,474,26,89.37,SIMINF4
12,1,SIMINF4,SIM4,386,425,31,85.63,SIM4
13,0,SIM4,SIMINF4,469,346,26,97.67,SIM4
13,1,SIMINF4,SIM4,449,399,24,78.97,SIMINF4
14,0,SIM4,SIMINF4,457,378,34,102.71,SIM4
14,1,SIMINF4,SIM4,526,452,26,86.85,SIMINF4
15,0,SIM4,SIMINF4,436,391,22,81.78,SIM4
15,1,SIMINF4,SIM4,434,537,28,120.61,SIM4
16,0,SIM4,SIMINF4,476,483,24,94.08,SIMINF4
16,1,SIMINF4,SIM4,499,453,20,81.27,SIMINF4
17,0,SIM4,SIMINF4,451,347,29,73.40,SIM4
17,1,SIMINF4,SIM4,433,471,29,85.26,SIM4
18,0,SIM4,SIMINF4,498,349,30,94.74,SIM4
18,1,SIMINF4,SIM4,498,398,27,94.15,SIMINF4
19,0,SIM4,SIMINF4,400,424,31,86.13,SIMINF4
19,1,SIMINF4,SIM4,405,456,32,86.21,SIM4
20,0,SIM4,SIMINF4,525,457,29,81.67,SIM4
20,1,SIMINF4,SIM4,489,462,21,76.68,SIMINF4
21,0,SIM4,SIMINF4,423,477,31,85.61,SIMINF4
21,1,SIMINF4,SIM4,487,366,21,76.55,SIMINF4
22,0,SIM4,SIMINF4,432,406,23,89.32,SIM4
22,1,SIMINF4,SIM4,477,540,22,89.15,SIM4
23,0,SIM4,SIMINF4,289,510,32,87.25,SIMINF4
23,1,SIMINF4,SIM4,438,397,32,93.67,SIMINF4
24,0,SIM4,SIMINF4,452,497,33,86.37,SIMINF4
24,1,SIMINF4,SIM4,362,487,22,81.48,SIM4
25,0,SIM4,SIMINF4,395,477,25,93.84,SIMINF4
25,1,SIMINF4,SIM4,427,478,24,85.17,SIM4
26,0,SIM4,SIMINF4,547,356,23,76.73,SIM4
26,1,SIMINF4,SIM4,441,363,26,85.39,SIMINF4
27,0,SIM4,SIMINF4,453,508,24,81.55,SIMINF4
27,1,SIMINF4,SIM4,406,405,29,85.62,SIMINF4
28,0,SIM4,SIMINF4,420,480,22,81.30,SIMINF4
28,1,SIMINF4,SIM4,394,504,22,83.49,SIM4
29,0,SIM4,SIMINF4,468,422,21,71.29,SIM4
29,1,SIMINF4,SIM4,418,396,32,111.41,SIMINF4
30,0,SIM4,SIMINF4,425,454,30,89.52,SIMINF4
30,1,SIMINF4,SIM4,410,447,28,90.38,SIM4
31,0,SIM4,SIMINF4,450,375,23,85.95,SIM4
31,1,SIMINF4,SIM4,462,356,29,85.61,SIMINF4
32,0,SIM4,SIMINF4,416,555,32,85.69,SIMINF4
32,1,SIMINF4,SIM4,403,457,31,90.65,SIM4
33,0,SIM4,SIMINF4,400,448,29,91.11,SIMINF4
33,1,SIMINF4,SIM4,439,406,29,91.28,SIMINF4
34,0,SIM4,SIMINF4,446,417,24,85.35,SIM4
34,1,SIMINF4,SIM4,470,343,24,89.36,SIMINF4
35,0,SIM4,SIMINF4,437,481,22,73.19,SIMINF4
35,1,SIMINF4,SIM4,366,412,31,85.88,SIM4
36,0,SIM4,SIMINF4,408,321,30,86.20,SIM4
36,1,SIMINF4,SIM4,426,317,21,85.12,SIMINF4
37,0,SIM4,SIMINF4,415,408,31,93.71,SIM4
37,1,SIMINF4,SIM4,371,404,22,72.50,SIM4
38,0,SIM4,SIMINF4,589,348,24,90.58,SIM4
38,1,SIMINF4,SIM4,605,341,30,93.36,SIMINF4
39,0,SIM4,SIMINF4,399,416,24,101.00,SIMINF4
39,1,SIMINF4,SIM4,444,391,24,97.40,SIMINF4
40,0,SIM4,SIMINF4,498,399,25,101.98,SIM4
40,1,SIMINF4,SIM4,527,364,23,97.01,SIMINF4
41,0,SIM4,SIMINF4,395,377,31,86.20,SIM4
41,1,SIMINF4,SIM4,473,317,33,78.39,SIMINF4
42,0,SIM4,SIMINF4,456,504,29,86.38,SIMINF4
42,1,SIMINF4,SIM4,484,440,21,77.44,SIMINF4
43,0,SIM4,SIMINF4,420,461,25,81.27,SIMINF4
43,1,SIMINF4,SIM4,456,374,25,85.08,SIMINF4
44,0,SIM4,SIMINF4,478,428,32,86.03,SIM4
44,1,SIMINF4,SIM4,481,364,31,93.71,SIMINF4
45,0,SIM4,SIMINF4,342,352,34,98.46,SIMINF4
45,1,SIMINF4,SIM4,522,522,28,85.73,tie
46,0,SIM4,SIMINF4,440,522,24,89.87,SIMINF4
46,1,SIMINF4,SIM4,468,433,30,90.14,SIMINF4
47,0,SIM4,SIMINF4,442,503,30,78.12,SIMINF4
47,1,SIMINF4,SIM4,351,518,30,88.05,SIM4
48,0,SIM4,SIMINF4,576,368,24,88.91,SIM4
48,1,SIMINF4,SIM4,477,410,20,79.89,SIMINF4
49,0,SIM4,SIMINF4,357,339,28,129.35,SIM4
49,1,SIMINF4,SIM4,429,456,28,109.73,SIM4
50,0,SIM4,SIMINF4,367,396,29,110.15,SIMINF4
50,1,SIMINF4,SIM4,418,431,24,94.40,SIM4
51,0,SIM4,SIMINF4,397,372,34,98.55,SIM4
51,1,SIMINF4,SIM4,482,459,29,94.28,SIMINF4
52,0,SIM4,SIMINF4,412,508,24,82.65,SIMINF4
52,1,SIMINF4,SIM4,418,501,26,85.44,SIM4
53,0,SIM4,SIMINF4,429,448,22,89.03,SIMINF4
53,1,SIMINF4,SIM4,458,347,30,110.37,SIMINF4
54,0,SIM4,SIMINF4,509,362,23,82.51,SIM4
54,1,SIMINF4,SIM4,499,337,22,80.76,SIMINF4
55,0,SIM4,SIMINF4,610,357,30,81.99,SIM4
55,1,SIMINF4,SIM4,580,344,23,80.81,SIMINF4
56,0,SIM4,SIMINF4,379,533,26,83.97,SIMINF4
56,1,SIMINF4,SIM4,435,364,24,89.37,SIMINF4
57,0,SIM4,SIMINF4,492,406,22,120.74,SIM4
57,1,SIMINF4,SIM4,396,449,23,84.93,SIM4
58,0,SIM4,SIMINF4,484,397,24,90.27,SIM4
58,1,SIMINF4,SIM4,480,376,25,82.05,SIMINF4
59,0,SIM4,SIMINF4,460,497,30,81.76,SIMINF4
59,1,SIMINF4,SIM4,392,487,34,98.52,SIM4
60,0,SIM4,SIMINF4,432,386,30,82.33,SIM4
60,1,SIMINF4,SIM4,413,374,29,98.43,SIMINF4
61,0,SIM4,SIMINF4,553,535,25,90.04,SIM4
61,1,SIMINF4,SIM4,409,368,32,94.10,SIMINF4
62,0,SIM4,SIMINF4,426,473,23,73.12,SIMINF4
62,1,SIMINF4,SIM4,378,495,21,72.98,SIM4
63,0,SIM4,SIMINF4,396,549,35,98.70,SIMINF4
63,1,SIMINF4,SIM4,398,454,31,77.48,SIM4
64,0,SIM4,SIMINF4,385,428,32,89.84,SIMINF4
64,1,SIMINF4,SIM4,412,434,24,89.60,SIM4
65,0,SIM4,SIMINF4,494,419,31,86.27,SIM4
65,1,SIMINF4,SIM4,448,456,22,81.24,SIM4
66,0,SIM4,SIMINF4,358,494,26,94.09,SIMINF4
66,1,SIMINF4,SIM4,410,460,20,81.22,SIM4
67,0,SIM4,SIMINF4,473,468,21,85.50,SIM4
67,1,SIMINF4,SIM4,464,455,21,85.34,SIMINF4
68,0,SIM4,SIMINF4,509,424,31,90.09,SIM4
68,1,SIMINF4,SIM4,490,399,30,88.95,SIMINF4
69,0,SIM4,SIMINF4,530,342,32,92.18,SIM4
69,1,SIMINF4,SIM4,470,437,25,94.47,SIMINF4
70,0,SIM4,SIMINF4,332,502,32,90.28,SIMINF4
70,1,SIMINF4,SIM4,350,524,23,81.35,SIM4
71,0,SIM4,SIMINF4,458,426,25,85.43,SIM4
71,1,SIMINF4,SIM4,415,428,24,93.78,SIM4
72,0,SIM4,SIMINF4,458,323,24,85.86,SIM4
72,1,SIMINF4,SIM4,484,422,24,80.88,SIMINF4
73,0,SIM4,SIMINF4,517,489,22,77.06,SIM4
73,1,SIMINF4,SIM4,445,494,30,77.64,SIM4
74,0,SIM4,SIMINF4,433,504,22,76.66,SIMINF4
74,1,SIMINF4,SIM4,400,488,31,90.14,SIM4
75,0,SIM4,SIMINF4,490,438,22,77.32,SIM4
75,1,SIMINF4,SIM4,504,431,24,81.74,SIMINF4
76,0,SIM4,SIMINF4,483,372,20,72.65,SIM4
76,1,SIMINF4,SIM4,510,363,28,77.60,SIMINF4
77,0,SIM4,SIMINF4,491,397,22,118.74,SIM4
77,1,SIMINF4,SIM4,470,426,21,78.96,SIMINF4
78,0,SIM4,SIMINF4,493,441,31,84.97,SIM4
78,1,SIMINF4,SIM4,444,475,32,93.72,SIM4
79,0,SIM4,SIMINF4,437,432,29,80.54,SIM4
79,1,SIMINF4,SIM4,454,353,21,77.38,SIMINF4
80,0,SIM4,SIMINF4,525,383,33,97.16,SIM4
80,1,SIMINF4,SIM4,553,338,23,82.34,SIMINF4
81,0,SIM4,SIMINF4,540,361,25,97.89,SIM4
81,1,SIMINF4,SIM4,471,338,25,100.79,SIMINF4
82,0,SIM4,SIMINF4,424,498,24,87.32,SIMINF4
82,1,SIMINF4,SIM4,504,474,22,80.79,SIMINF4
83,0,SIM4,SIMINF4,386,389,22,81.21,SIMINF4
83,1,SIMINF4,SIM4,452,395,25,81.38,SIMINF4
84,0,SIM4,SIMINF4,489,332,28,93.54,SIM4
84,1,SIMINF4,SIM4,439,358,27,89.51,SIMINF4
85,0,SIM4,SIMINF4,437,469,24,85.06,SIMINF4
85,1,SIMINF4,SIM4,443,454,24,85.77,SIM4
86,0,SIM4,SIMINF4,568,457,23,81.38,SIM4
86,1,SIMINF4,SIM4,516,471,22,75.32,SIMINF4
87,0,SIM4,SIMINF4,394,441,31,85.55,SIMINF4
87,1,SIMINF4,SIM4,465,405,31,86.03,SIMINF4
88,0,SIM4,SIMINF4,515,456,31,133.10,SIM4
88,1,SIMINF4,SIM4,396,416,22,85.36,SIM4
89,0,SIM4,SIMINF4,392,407,31,90.66,SIMINF4
89,1,SIMINF4,SIM4,406,423,23,93.62,SIM4
90,0,SIM4,SIMINF4,472,511,20,79.56,SIMINF4
90,1,SIMINF4,SIM4,575,417,23,88.86,SIMINF4
91,0,SIM4,SIMINF4,468,388,22,77.19,SIM4
91,1,SIMINF4,SIM4,508,411,22,76.93,SIMINF4
92,0,SIM4,SIMINF4,390,488,27,89.95,SIMINF4
92,1,SIMINF4,SIM4,328,381,25,81.81,SIM4
93,0,SIM4,SIMINF4,296,602,22,80.80,SIMINF4
93,1,SIMINF4,SIM4,461,506,23,88.30,SIM4
94,0,SIM4,SIMINF4,540,416,31,94.28,SIM4
94,1,SIMINF4,SIM4,411,353,23,85.79,SIMINF4
95,0,SIM4,SIMINF4,501,449,26,87.96,SIM4
95,1,SIMINF4,SIM4,446,516,25,89.84,SIM4
96,0,SIM4,SIMINF4,500,284,32,89.84,SIM4
96,1,SIMINF4,SIM4,457,336,23,84.73,SIMINF4
97,0,SIM4,SIMINF4,444,359,23,88.67,SIM4
97,1,SIMINF4,SIM4,425,355,23,89.88,SIMINF4
98,0,SIM4,SIMINF4,296,467,30,85.82,SIMINF4
98,1,SIMINF4,SIM4,361,474,32,90.18,SIM4
99,0,SIM4,SIMINF4,455,339,28,98.18,SIM4
99,1,SIMINF4,SIM4,464,372,34,98.66,SIMINF4
100,0,SIM4,SIMINF4,480,460,23,86.67,SIM4
100,1,SIMINF4,SIM4,412,471,26,89.86,SIM4
101,0,SIM4,SIMINF4,511,308,34,94.16,SIM4
101,1,SIMINF4,SIM4,528,418,30,85.66,SIMINF4
