# position_id	bag_size	CGP
b1-p01	1	13BA/13LI/13eM/JUVIE1MAGGOT1W1/U3WAE3HOGAN/R3EVE6R1/I4A7T1/E2BHUNA2CLASP/D1KY1N1T7/1Z3T1T7/1O1QIS1O7/FOCI3R7/LI5N7/AD5E1TOOLIE/Y6DEIONISE EPRRSX?/AEEFNRU 371/401 0 -lex CSW24
b2-p01	2	7WOON1V1P/5ZEA1YO1OMA/2CAREERS3XIS/BEEP9sH/1FLOOF2J1A2W1/4HAILIEST1E1/8T1S2N1/6OUTRAVED1/5CYME1R4/8R1T4/8I1E1Q2/8N1DEI2/8G2UN2/11O3/6BATTLINg1 ADDKLUU/AEGIINR 468/474 0 -lex CSW24
b3-p01	3	9LOAFED/2C9E2/2R1S1HOLT2E2/2E1THERIAcAS2/2E1RE6ER1/2K1AX2D4O1/2YAD3I4L1/3GIAOUR2JILT/3OO3I4I1/3IT3M4N1/1VINS3E2V1GU/3G4N2R2N/5BENTWOOD1Z/11U2I/11W2P AABCFN?/AEMPSTU 359/407 0 -lex CSW24
b4-p01	4	BUOYAGES7/R6E5S1/E6L5C1/V6E1UNIPOD/I3QUINARY2W1/E6A5P1/r3GI1T5E1/S2MANNER2JUDO/4MI9/4BAD2TI4/4O1I1FADER2/4LATHERER3/6ZO7/7WOX5/7L1INIA2 ACKOOTT/EFGHLST 415/384 0 -lex CSW24
b1-p02	1	5RECOILER2/7A7/2P1H2L2V4/2OMA1QINDARS1D/2TIG1OF2T1TAE/1GAL1AR3I1AXE/1RET1UM3C1BIT/1E1ZONAE3ISOS/1A3T5N1N1/1V2BY5I3/FE2U6O3/IS2J6N3/K1WOOLY8/E14/D14 DEEEIU?/GHNPRUW 324/371 0 -lex CSW24
b2-p02	2	15/12C1Y/11HO1A/10VOR1K/10ION1I/5P2HORRENT/5A1JANE1T1O/3FELLATED1T1R/2TO1A6S1I/2AR1C1W7/1GUM1E1E1UME3/1OBA1DEXTRALS2/1BEL3I4P2/1I1I1QIN4I2/3N3G2GYVED AENOSSZ/DEIUUW? 429/461 0 -lex CSW24
b3-p02	3	15/15/9K2J2/3M4CHAVE2/3y5IN1L1F/3a5LI1A1U/3L5AL1BEZ/3G2SEXTS2RE/3I1TORUS1E1O1/3AWAVE2BI1T1/10UN1EE/QUID3D2YE1MY/O1FATWOOD1I2EE/P6CATNIPS1/H6O2G4 DEIIORR/AGNNORR 388/411 0 -lex CSW24
b4-p02	4	3Q1OWO4G1U/3U1HIN4LAD/2JO2FY4OBO/C1AI2EXHEDRAE1/RuNNERS3E1TAW/A1N7M2MO/D7V1P3V/L6NERTZ1PE/ET6G2I1A1/1A9L1R1/1U9L1AG/1T9S1BY/1I11ER/1T11NO/14S DEFIIIK/ACEISTU 349/403 0 -lex CSW24
b1-p03	1	2J4U7/1CARABIN7/2R4G7/2U3MeDICK3/2L4N7/5W1T5V1/5I1L5R1/3PULIEST3OD/2QI1EX6TA/1ZIG1DO7s/OON3R7H/FE4AY4B1E/TA5I1VEGO1E/EE3FARROW1H1N/N6DEMETONS AEELOSS/AIIPTUY 389/409 0 -lex CSW24
b2-p03	2	7G3V2P/6TO1PRICKS/4V1YOW2G2E/3MO1GIO2I2U/B1TOM2E2JA2D/UNITISER2A4/N1DIT3I1R4/C2FOULER1HALFA/E7A1E4/5WE1tHANX2/3LIONhEAD4/8L1SQUAB/8Y6/15/15 AEINRST/DEENORT 350/406 0 -lex CSW24
b3-p03	3	14A/9PUCE1W/8ZITHERN/8AA1A2Y/11U3/6DOLMANs2/4QUEY3T3/OUTJiNXED1FIRKS/3I7NO1E/1M1V3W3GO1P/1A1I3A4T1A/VIBE3H4A1L/1LORDOTIC3G1O/1L5N4E1I/7E4S1D EEIORST/EFGIRRS 459/447 0 -lex CSW24
b4-p03	4	VARA11/1C12F/1U12O/1I6LOONIER/ST2l2QI5W/NY1RAPHIDES3E/E3VAU7N/CLIMAXED6T/K3T10/I2GO10/N2Ar10/G2MY10/3B11/GAZE1HOA1OUBIT1/3TRIFLED1ANOW DEEEPSU/EJLNORS 429/403 0 -lex CSW24
b1-p04	1	5GALEAE4/9N5/2V6GU4/2R6EF1I2/2O1B4LO1N2/1VOTED3U2I1J/2M1HOURIS2T1A/2SWOPpED3I1F/4T4C2ANA/4EQUIPE2lO1/4S4R3N1/7WARBY1N1/9I3I1/2HOOKEY1A3E1/6NEGLECTS1 ADEIRRZ/ADIMTTX 352/390 0 -lex CSW24
b2-p04	2	3HATED7/5W9/2D2E4R4/2O1NE3DI4/2O1UN2GUP4/2M1MY2OFT4/2YOB3OU2F2/1G1VATTERS2E2/1ABET3I3c2/1PER4EW2I2/1OAR5AH1A2/2NU3AECIAL2/2IN5KO1S2/2E6OI4/GIRL1NAZIS5 EELRVX?/CDJLQST 242/375 0 -lex CSW24
b3-p04	3	10BURRO/10A4/9CINQ2/10L3T/10I3R/7YUKE3E/4C1ZEP5W/F2HOVER3ALTS/LO2GO5NOO1/AB2wE5tAM1/XI2H6ID2/YITTEN5PEW1/1NU1E6ODE1/1GI1LOADSTAR1M1/5FIE3N3 AAEGRST/AIIJNSV 349/376 0 -lex CSW24
b4-p04	4	UNWOVE9/3G1HIT7/2SET10/D1CEE10/A1O1XU4I4/NOW2P4N4/CUP2BA3S4/ET3RINDING3/1S2KAY3A4/1A2NYE3R4/MI2A1E3e4/EL1DI5S4/T2OD10/O2FEZ1EMBROIl1/L2FLAIL7 AEGJORU/AHOQTTV 387/447 0 -lex CSW24
b1-p05	1	15/15/8HIREE2/7RONIN3/10Y4/9FA2YU/4I1AQuILINE1/V2OMEGA1N1NEWT/E3B2TOKO4/SH2IO4V4/PA2ZEA3E4/AL1IO1I3R4/1FUGS1A3BOW2/1A1L3ORDErED1/2CUTTER2D1MIX AGJNPRS/CDESTTU 337/352 0 -lex CSW24
b2-p05	2	7I6B/7NAVIGATE/7D4V1L/3FOX1I3DO1T/2QIN2G3OW1l/2ITERANCE1O1BE/WENT4O2K1IS/7ULYIE2S/8O2T3/7UnI4H/8I1PADMA/5N1PAYEE2L/5E1ALE4U/5FRUSH4T/7A6Z ADJMNRR/CEGORRS 416/405 0 -lex CSW24
b3-p05	3	7A3MOKI/7G3A3/2W3CONTRITE1/2E4N3L3/2E1F2I3S3/2P1OCAS3H3/2I1R2M3OR2/1INNLESS3TOY1/2G1E7YE1/4N2P4sHA/4D1RIOJA1T1D/6EQUABLE1V/7U4R1E/EUXENItE6R/7D6B ADGLTUV/AFIOOWZ 420/430 0 -lex CSW24
b4-p05	4	KOBAN2F2IGAPO/1WOX3A2TOGED/2WO3V3EALE/3IF2EH4T1/3DA2REINCUR1/3SUQ2L4Y1/4R3V6/4DILLI6/8N6/7Ug6/2JEE2N7/2ANTISMUT5/7E7/ARBOrIZE7/REAP3T7 CDEGHST/AEIINRS 341/403 0 -lex CSW24
