# position_id	bag_size	CGP
x-b1-p01	1	11MOJO/11O1A1/11BOW1/10PIC2/UNFOND4RET1B/5ZE3I1EME/1PETROLS2v1TIG/REDE3IXIA3A/10T3N/9HE2Q1/3VoLUNTARY1U1/9C1ADAW/6ALIENEES1/9K3I1/3DISTROS5 AEGHNRU/AFGLOVY 415/476 0 -lex CSW24
x-b2-p01	2	1Q13/1IN12/2ET11/1VAW11/1IRID10/DO1GI2RAVIN3/AL2S1FY7/BE1THUYA1TINAJA/1T2O6O3/1S2M2C3NIX1/3NEATHERDS3/PAGED2A3L3/1TIK2WULL1I3/5OOF3p3/PRECuRSE7 EEGMOOU/BEENORU 393/377 0 -lex CSW24
x-b3-p01	3	EDGY3P6R/3E2QIN5E/2CAM2cORVETTE/2OHO2O6N/2V1XI1F1R4A/1BE1AH1A1E4C/YER2R1R1G4T/UN1SPAZA1U4S/GJU2MODULI4/9I5/4DOWIEST4/KAFTAN3E5/O14/B14/O14 AEIIIT?/DEILLNN 406/417 0 -lex CSW24
x-b4-p01	4	T3REALTOR3D/R8YETTIE/A11O1L/MM10R1V/PO9WE1I/EW9AR1N/T9BIO1G/SLOJD2GANEFS2/2V1INFIX1NU3/2E7Z4/CARABINE2I4/H1H7N4/A1a6DEICE1/P1U12/E1L12 AEGKOST/ADIOOU? 372/439 0 -lex CSW24
x-b1-p02	1	7ATONER2/11NOGG/10NEB2/7V3WEXE/4P2I5Y1/S3OP1T5L1/U3AL1R5O1/B3KIWI3EMIT/E3EN1OUTCHIDE/D4T1L5I1/AVOUCHES5N1/R2M9EF/SATIRIZe6L/3A10A/3QUERN6G AFOORSY/AADDEI? 418/390 0 -lex CSW24
x-b2-p02	2	BOAK3G7/A2E3I7/N1OD3N7/I1UG3C7/S1BET1SH7/h1I1R1I8/E1T1I1R1P3D2/R2FOVEAL3I1C/4L1N1A3s1R/1JUPE1I1T3T1E/4I1A1OXFORDS/VODUN1N1O3A1Y/U7N3I1L/G11T2/S9RHEME AAEMQTW/AEELOWY 381/385 0 -lex CSW24
x-b3-p02	3	7SELAMLIk/TURKEY1O5M1/O2E3V5A1/N2T1DRILLER1G1/T1JUD2E1OWE1I1/I1AB3T5N1/N1GAP1DiF3ZE1/E2HOASCA2WASH/4OBO1XU1OY1A/11PI1I/12N1R/14N/13FE/13UT/13R1 CEEGIOS/DEIINQR 346/427 0 -lex CSW24
x-b4-p02	4	6CAEOMA2Q/11Z2U/11OW1E/2ALIF5NENE/2NITID5MAR/1JIB1DRAYED1BYS/6AGONIES2/3VULGO2T3A/9OH3U/7T1FE2EX/7R2L2TI/7IGNITRON/7C2S2I1/7E2m2L1/7P5E1 DHOPRV?/AAEERSU 355/329 0 -lex CSW24
x-b1-p03	1	V14/A14/W1GU11/SWAN11/1OUS11/RODE9Q1/I2L9IO/C2FRUICT5A/Y1HE1N2AUREI1K/1HAD1ZO7L/1OM1MIGRATEd2E/VIBE1PE3XOANA/2L3E1BLOND1F/2E12/JASPERIER6 DINNST?/EGIOTTY 339/421 0 -lex CSW24
x-b2-p03	2	3JILLS7/1BEANO1T7/VAR4R7/A2G3O7/L2R3U5U1/U2E3P1O3PA/a2N1F1A1L3WE/T2SHEWN1E2DEG/E3AMA2OK1ANI/D3ZEN3EDITS/4Y1GO2FEM2/7V3XI2/7E4O2/4CHORIOIDS2/7T7 ABEIQRR/CINTTUY 371/391 0 -lex CSW24
x-b3-p03	3	7RETINULA/2KOFF7O1/3PLEDGERS2L1/4E8ZA/4WO1DUTY3G/5BOOTIE1S1A/2QADI2ANTIAIR/3WEAVE2I1P1I/7I4ROC/7N3JOG1/7s3ABA1/7T3MEME/7E4S1R/7I6H/7n6U LNNORVX/CHNSTUY 400/396 0 -lex CSW24
x-b4-p03	4	PUTZ7D3/3OF1BRAVOES2/2JNANA4R3/3AT2E3I3/3EWE1A3V3/4AL1T3i3/2Q2IDE3N3/1LUCIDER3G3/2R2IWI7/1OS2B1E7/1OHM1L1S7/EH1O1E9/MI1U2PAX6/EN1N1KEN7/UG1DOYLY7 IIORST?/AAFIORT 368/440 0 -lex CSW24
x-b1-p04	1	M6G6C/AM5R1ZAP2A/LID3FIREBOX1V/TAU4C3OILY/HOROLOgE1G5/AWE2U3J5/2D2T3U5/3KARITES5/1DEALATES6/5V9/1PaTTENED6/FINO3HEINIE2/8WOOSE2/15/15 ABINNRY/EGINQRU 404/375 0 -lex CSW24
x-b2-p04	2	3B3V7/1WOOTZ1O7/FEUD3L2I4/L2YA1QUERNS3/E3K2M2I4/E3I2I1BA4/R3R2S1U2C2/E2JANATAs1HUIA/R3H4L2N2/4OW3OF1E2/4sI3AL1A2/5N1G1DITT2/2COVETED1PEE2/5Y1R3G3/7M3G3 ADINNST/EIOOPRX 373/439 0 -lex CSW24
x-b3-p04	3	WE5V7/EF5A1MU4/T5UNKINdER1/AG5D1BI3Y/1AT4A2N3I/1JA2VILL1U3R/NOY7r3T/O2ZOCCOS1E3H/OOPED2EPIDOTES/GEAN4A4Q1/I7G4U1/E12AX/13LI/13E1/10BANDH EILRRTW/FIMRSST 358/427 0 -lex CSW24
x-b4-p04	4	3V2FOR6/3INJERA2K3/3ZOA2HADAL2/3YUP3D1V3/4N4ABA3/4S4WOLD2/10U4/7UNARY3/7R2G4/7A6O/4MEWL1C4E/3TOPOI1I1HOLD/5EXTENSoR1E/1TEENE1E1Q4M/COFT3S6A BGIINTU/IIIRST? 349/366 0 -lex CSW24
x-b1-p05	1	4TONKA3I2/7OXIDANTS/6C5N1Y/6E5A1R/3TUNNElER1G1P/6A5E1H/3W2COZIERS1I/3HULLOO2I2D/2VIM1E4A3/3M2S2Q1N3/3P3REUTTERS/3L5O1L2U/2FE5A1Y2A/2O6D4V/JIBB10E DEFIIR?/AEGGOTW 406/450 0 -lex CSW24
