# position_id	bag_size	CGP
quality-20260730-b1-p001	1	3M3BROMIZES/1OPALInE1W2I1I/3U1TYG1OW1T1R/3N6ABS1E/3D6XI2N/3Y7R1QI/8GU1T1IS/FOVEAE1NINTH2E/5HAUF2E3/11R3/7JOCOS3/3EVOKER6/5RILE6/1CAAED1L7/7O7 ADDNPT?/AAEGNTU 380/570 0 -lex CSW24
quality-20260730-b1-p002	1	KNIVED1FAB1ARUM/AA2NEGATION3/5P5OR2/5INSINEWED1/5C6Q2/4ST5TUX1/2J1L7I2/CLOVES1OUTHER2/4A7E2/4Z2RObOTRY1/2G1I2EEEW4/1HOPLITE7/1AL1Y10/1OF12/15 ABEGIRU/ADDIMS? 391/389 0 -lex CSW24
quality-20260730-b1-p003	1	3BOWING6/3O9W1/3L9R1/3I9I1/3N5VANTS1/3E6g2T1/3ST5a3U/4H1QI2MARAH/3YO1U1ZEE4/3UN1ALEFT2F1/4G1TOE1E2L1/3CYDERS4A1/7E3TAKI/3PROPANES1DE1/JUBA3L2IXORA CDDNORV/EGIIIMO 397/340 0 -lex CSW24
quality-20260730-b1-p004	1	AREAD2V2FAVEL/HERNIATE4OX1/4N2H4W2/4K2MYGALE2/4I1B1OUD1DO1/4ECOD1M3R1/4S1U2P3B1/4T1JIGS3I1/5QI5sT1/6E5NE1/6S5ARY/6TE3EW1A/7U3AI1P/5TROOZ1UN1O/7I4G1N CEFINST/AEILOR? 371/402 0 -lex CSW24
quality-20260730-b1-p005	1	13U1/9G3N1/6HAIRDO1W1/3CARIBOO1FLOB/9YET1V1/5I3N3EH/5N3E4O/3JUDGERS4R/5A6Q1A/5M1A4I1R/4MILLIGAlS1Y/2NEONIC7/1NEELE1OW6/6OVERSKIP1/7EX1TATIE ADFPTUU/ADESTTZ 405/331 0 -lex CSW24
quality-20260730-b1-p006	1	4tACKLES4/3UR10/3NUTMEAT5/2BEL3GAN4/2LAY4TAJ3/2OS2P1GEM4/2BI2ADO6/VISED1VEXT5/3R3t7/7R7/6WAZOOS3/3FLOOIE2T3/3E2ONE2U3/3R3E1QIN3/INFECT1DUING3 AHHIOPR/DEIIRWY 312/451 0 -lex CSW24
quality-20260730-b1-p007	1	7LOW5/3U3ONE5/3S2DOON5/3Q2IF7/3UP1C8/3EA1T6O1/4B1I2O3R1/3FUZED1u3RE/L1K1L1S2T2JAR/OVERACTS1W2AME/I1X1R2H1A1OPED/D6A1I1VIn1/I6M1T1EN2/N4BRAISING2/G6N7 AAGHTTY/EEEILUY 356/390 0 -lex CSW24
quality-20260730-b1-p008	1	R11W2/IS9NO2/LI8FAW2/EDS7IO3/YET7QIS2/1BA6CH1L2/1AG1REX2R2A2/OR1H1FUNKY2N2/T1TOLT6T2/TUINA7E2/A2o4BIPED2/V1GROUPIEs5/AM1E4EMCEE2/1O1R11/DZOS11 AILNNOV/DEEGIJU 321/434 0 -lex CSW24
quality-20260730-b1-p009	1	3BEGAT6Q/2WO2M7A/2IO1WE6ST/2LA1AN6I1/2TIMID6L1/4OF7U1/4T8R1/3ZONED5I1/4R2AVAILED1/4EFT2HOI1S1/4DOH8/3C1PA1JEEP3/2YU2GNARRING1/2OK1XI8/UNdERUSE7 CEENRT?/ABELOSY 403/447 0 -lex CSW24
quality-20260730-b1-p010	1	9BOWFIN/5QAT3A3/2R4EW2XU2/2OD3GO1BY3/2MIC2UR1R4/2AVO3DZO1D2/2J1LAIR1EN1E2/TRIPE1SOLACES2/4T1HOIS2Y2/4IF5LA2/4TA1K3IT2/5A1E3MI2/2OUTSEEN2AN2/7V3N3/7E7 EEGGIR?/DELNPU? 290/562 0 -lex CSW24
quality-20260730-b1-p011	1	9NORMAL/1EUPHRASY3I2/2R8EX2/JEER6OY3/2D7GO3/1QI7ET3/2N3WAIDE4/2ICEbOAT1SIZEL/2A1FEW5OE1/6FIBS1VANG/7N1P1O2I/7V1U1C2T/7A1N1UH1A/7D1K1LI1N/7E3EM1O ADLOTT?/BGRRSTU 414/339 0 -lex CSW24
quality-20260730-b1-p012	1	15/15/14A/7GUACO2R/SNIRTLE3O3A/A5RAW1L2FY/V6WACONDas/O5ZEX1S2DE/Y5OE2S1PED/5BE3U1OU1/3THEATRES1OR1/FIVE8J2/10Q1A2/PRIDING2KITHE1/6ULMIN4 ABILMOT/EGIINNT 379/487 0 -lex CSW24
quality-20260730-b1-p013	1	2A12/2R7K4/2A5VINYL2/2B4JO1O4/2I4OU1UT3/2SERR2L1TI3/2EM4U2EF2/3PEWEE3TEG1/3Y2VEG2AHI1/3E1ZE1OX1C1N1/3SPANDRILS1N1/3E11/3SQUIRT1OBI2/8ACRIDLy/3MOATED6 DFGHNO?/AAAIOTW 326/492 0 -lex CSW24
quality-20260730-b1-p014	1	P6ELOIGNeR/EN12I/PO2D9C/1N2OW5FRAY/1L1THO3QUOIT1/1I1U1REjOINED2/1V1R1M9/JEAN1I1INBOX3/1SWAGED2I1UR2/3B1S3ZA4/3LITHATES4/3E2OY2E4/5CAUF1A4/15/15 ADEGKMV/AEELRST 530/339 0 -lex CSW24
quality-20260730-b1-p015	1	STAY3D4F1V/1ANOTHER4ARE/1DAB3A4WEN/7G5EA/7O5N1/7N2L2JO/6QI2O1POI/7SLOUGHY1/7m2NAT2/10GU1F1/4ICE3ED1O1/5R4R2U1/5O2MISKAL1/5ZIBET3I1/4WEDEL1IVIES CINRTUX/AEMPRT? 409/370 0 -lex CSW24
quality-20260730-b1-p016	1	7M7/7O7/7UP1F4/7EL1L4/8OBE4/1DAN1N2YEX4/1SHEQEL2VOES2/ROID1WICKY1MUCH/7AR3R2/7RAGA1G2/3LEGATIOn1I2/JUBA3O3We2/7N3ES2/2NUTRIENT1ET2/OVATE2D3D3 AAFIIPT/EIINORS 450/329 0 -lex CSW24
quality-20260730-b1-p017	1	B5FAND5/R6N2A4/A2MULCTiNG3C/ZUKE3E2LAIGH/E1IWI2T1QI3I/N3OY1y1IT3M/R4OUPA1T3P/Y2JOUSEI1E3S/3OB4AR4/3RAV3S5/9T5/8VEGO3/9R5/9I1FEEN/6ADDAXES2 EEHLORT/DELNOOW 338/473 0 -lex CSW24
